Porcelain Raft - Big Sur,Positive,Memory Recollection
James Newton Howard - Prologue  Parallax Unbound,NULL,NULL
Alexandre Desplat - Battlefield,Very Positive,NULL
Blake Neely - So It Begins,Negative,Yelling
Steve Jablonsky - Merlin's Staff,Very Positive,Dancing
Brian Tyler - Lokasenna,Very Negative,Hiding
Marco Beltrami - Don't Be What They Made You,NULL,NULL
Tyler Bates - Made an Enemy,NULL,NULL
Steve Jablonsky - Cogman Sings,Very Negative,Other
Steve Jablonsky - Best Thing That Ever Happened,Nuetral,No Behavior
C_line Dion - Immortality,Positive,Singing/humming
Blake Neely - Because I Liked It,Negative,NULL
Tyler Bates - Lewis Gets the Boot,Very Negative,Crying
Tyler Bates - Rampage,NULL,NULL
Armon Jay - To Be Honest,NULL,NULL
Steve Jablonsky - Honor To The End,NULL,NULL
Vlen - Cold Blood,Negative,NULL
Steve Jablonsky - Brothers,NULL,NULL
Grimes - Medieval Warfare,NULL,NULL
Steve Jablonsky - The Fight Will Be Your Own,NULL,NULL
C_line Dion - When I Need You,NULL,NULL
C_line Dion - The Power Of Love,Nuetral,No Behavior
Dana Glover - It Is You(I Have Loved),NULL,NULL
Steve Jablonsky - Izzy,NULL,NULL
ConfidentialMX_Becky Hanson - I Started a Joke,NULL,NULL
Rupert Gregson Williams - We Are All To Blame,Positive,NULL
Marco Beltrami - Up to Eden,Very Negative,Crying
Bishop Briggs_Cold War Kids - So Tied Up,NULL,NULL
Ed Sheeran - I See Fire,Very Positive,Sociability
Michael Giacchino - The Ecstasy of the Bold,NULL,NULL
Florian Bur - Life goes on,Very Negative,NULL
Cage the Elephant - Ain't No Rest for the Wicked,NULL,NULL
Diplo_French Montana_Lil Pump_Zhavia Ward - Welcome to the Party,NULL,NULL
Alt J - Left Hand Free,NULL,NULL
Idina Menzel - Let It Go,NULL,NULL
Mark Isham - The Dream,NULL,NULL
Rupert Gregson Williams - Amazons of Themyscira,NULL,NULL
Action Bronson_Mark Ronson_Dan Auerbach - Standing In the Rain,NULL,NULL
Spencer Lee - Still I Fly,Very Positive,Dancing
Blake Neely - Light Inside You,NULL,NULL
Creedence Clearwater Revival - Fortunate Son,NULL,NULL
Beck - Fix Me,NULL,NULL
Hans Zimmer,NULL,NULL
Zara Larsson - Ain't My Fault,NULL,NULL
Amy Stroup - Curious Heart,NULL,NULL
Daft Punk - Father and Son,NULL,NULL
Tyler Bates - Quiet Reflection,NULL,NULL
Mark Isham - Jumping through the Forest,NULL,NULL
Mark Isham - Preparation,NULL,NULL
Kevin Gates - Know Better,NULL,NULL
Steve Jablonsky - Precious Cargo,NULL,NULL
Adele - Skyfall,NULL,NULL
Johnny Cash - Father And Son,NULL,NULL
Isaac Hayes - Walk On By,NULL,NULL
Pharrell Williams - Happy,NULL,NULL
Mark Isham - Second Phone Call,NULL,NULL
Taylor Swift - New Year's Day,NULL,NULL
ScHoolboy Q_2 Chainz_Saudin - X,NULL,NULL
Steve Jablonsky - Your Creators Want You Back,NULL,NULL
Amy Stroup - Dark Runs Out,NULL,NULL
Andrew Kawczynski - Firmware Update,NULL,NULL
Brian Tyler - Thor The Dark World,NULL,NULL
Andrew Lockington - Rampage,NULL,NULL
Mark Isham - Adam's Plan,NULL,NULL
Marco Beltrami - Main Titles,NULL,NULL
Steve Jablonsky - Battlefield,NULL,NULL
John Ottman - I Found Them,NULL,NULL
Blake Neely - Everyone Left,NULL,NULL
Mariah Carey - Hero,NULL,NULL
Enya - Amarantine,NULL,NULL
Steve Jablonsky - Half Shell,NULL,NULL
The Kicks - Devil's Got A Hold,NULL,NULL
Beyonce - Rise Up,NULL,NULL
Tyler Bates - No More War to Fight,NULL,NULL
The Weeknd_Kendrick Lamar - Pray For Me,NULL,NULL
Steve Jablonsky - Sacrifice,NULL,NULL
Tyler Bates - The Punisher Main Title,NULL,NULL
Rupert Gregson Williams - No Man's Land,NULL,NULL
Tyler Bates - Just in Time,NULL,NULL
Mark Isham - Introduction,NULL,NULL
Damien Rice_Lisa Hannigan - 9 Crimes,NULL,NULL
Taylor Swift - Back to December,NULL,NULL
Amy Stroup - In The Shadows,NULL,NULL
John Dreamer - Brotherhood,NULL,NULL
Mark Isham - Bob at the Repair Shop,NULL,NULL
The Score - Legend,NULL,NULL
Taylor Swift - Enchanted,Nuetral,No Behavior
Mariah Carey - I Still Believe,NULL,NULL
Steve Jablonsky - Matrix Of Leadership,NULL,NULL
Florian Bur - Your Day,NULL,NULL
Daft Punk - Overture,NULL,NULL
BANNERS - Ghosts,NULL,NULL
Brian Tyler - New Beginnings,NULL,NULL
Norman Greenbaum - Spirit In The Sky,NULL,NULL
Hozier - Like Real People Do,NULL,NULL
Daft Punk - Solar Sailer,NULL,NULL
Florian Bur - My World,NULL,NULL
John Ottman - I Have Faith in You (Goodbyes),NULL,NULL
Aron Wright - In the Sun,NULL,NULL
Luke Sital Singh - Killing Me,NULL,NULL
Thomas Bergersen - Ocean Princess,NULL,NULL
Adrian Younge_Ali Shaheed Muhammad - Theme,NULL,NULL
Steve Jablonsky - Turtle Power,NULL,NULL
Sigrid - Dynamite,NULL,NULL
Florian Bur - I'm Happy,NULL,NULL
Mariah Carey - The Star,NULL,NULL
Johnny Cash - Heart Of Gold,NULL,NULL
Charlie Puth - Through It All,NULL,NULL
Aimee Mann - That's How I Knew This Story Would Break My Heart,NULL,NULL
Vince Staples_Yugen Blakrok - Opps,NULL,NULL
Steve Jablonsky - Prime,NULL,NULL
RY X - Heartbreak,NULL,NULL
Enya - Only Time,NULL,NULL
Adrian Younge_Ali Shaheed Muhammad - End Theme,NULL,NULL
David Hirschfelder - Month of the Cat,NULL,NULL
Henry Jackman - Into the Jungle,NULL,NULL
Rupert Gregson Williams - Lightning Strikes,NULL,NULL
Junkie XL - Seeking Endurance,NULL,NULL
Blake Neely - Shutting it Down,NULL,NULL
MILCK - Quiet,Very Positive,Dancing
Hans Zimmer,NULL,NULL
Taylor Swift - Welcome To New York,Very Positive,Clapping
Amy Stroup - With WIngs,NULL,NULL
Blake Neely - How Do You Lie to Me,NULL,NULL
John Ottman - How Was She#,NULL,NULL
Taylor Swift - Call It What You Want,NULL,NULL
Henry Jackman - Cap's Promise,NULL,NULL
Hans Zimmer_Junkie XL - Is She with You,Negative,NULL
USA For Africa - We Are The World,NULL,NULL
Tyler Bates - The Runaround,NULL,NULL
Banners - Start a Riot (Dave Edwards Remix),NULL,NULL
Banners - Holy Ground,NULL,NULL
